0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 |3 Bedrooms,2 Bathrooms,Condo,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-175043-14095 Lasino Run Carmel IN 46032
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 |Large master bedroom,Kitchen center island,Vaulted and cathedral ceiling,Lage patio,Porch,Many cabinets,Remodeled and renovated,3 Bedrooms,2 Bathrooms,Single Family Home,Average Quality Primary School,Average Quality Middle School,Below Average Quality High School,Lowest crime rate-229908-13972 Pinto Dr Carmel IN 46032
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 |3 Bedrooms,1 Bathrooms,Condo,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-32897-3355 Woodham Pl Carmel IN 46033
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 |Open Concept kitchen,Bathroom Vanity,Dining area,Fresh paint,Open concept,Remodeled and renovated,Breakfast bar and nook,Decorated paint,4 Bedrooms,2 Bathrooms,Single Family Home,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-114500-3550 Brumley Way Carmel IN 46033
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 0 |Lots of Storage space,Large backyard,Many windows,Porch,Fence,Furnace,Many cabinets,Remodeled and renovated,Finished basement,2 Bedrooms,1 Bathrooms,Single Family Home,Below Average Quality Primary School,Average Quality Middle School,Below Average Quality High School,Lowest crime rate-52269-421 Sheets Dr Carmel IN 46032
1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 |Large master bedroom,Hardwood floor,Very spacious kitchen,Walkin closet,Garden tub,Gas fireplace,Remodeled and renovated,Community pool,Trails,Spacious,3 Bedrooms,2.5 Bathrooms,Single Family Home,Below Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-197450-Bear Creek 4428 Voyageur Way Carmel IN 46074
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 |Finished basement,Spacious,3 Bedrooms,2 Bathrooms,Single Family Home,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-96420-74 Monon Ln Carmel IN 46032
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 |Carpeting,Lage patio,Stainlesssteel appliance,Granite countertop and island,Deck,Many cabinets,Remodeled and renovated,Spacious,Decorated paint,4 Bedrooms,2.5 Bathrooms,Single Family Home,Below Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-200096-1513 Brook Mill Ct Carmel IN 46032
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 |3 Bedrooms,2 Bathrooms,LotLand,Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-175000-3492 Modesto Ln Carmel IN 46074
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 |3 Bedrooms,1 Bathrooms,Single Family Home,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-47500-679 Marana Dr Carmel IN 46032
